frame,back_tilt,left_elbow,right_elbow
0,5.223055752451654,32.72754213570193,29.06628772097204
1,5.270894855523102,33.46483366747961,29.39428540868785
2,5.056479091595001,33.22477179637334,28.712081943162588
3,4.518427620572742,34.48504228163318,30.027475147071506
4,4.364768784287803,35.32735193836165,31.183586945717103
5,4.314239868374696,35.485025040138666,32.20771947590931
6,4.405504261533841,35.41011478062789,31.017153796134643
7,4.596818506501686,35.405280002473575,29.737735024099898
8,4.643459484606272,35.76327118814165,30.43413541897
9,5.367453632396946,34.94793316223147,29.151590454977775
10,5.946326267174071,36.19608970585834,29.912245237104784
11,6.550672193431998,37.11516133944397,30.063691348772426
12,6.699213800154878,36.089354283942846,30.012160592660198
13,6.936689628089457,37.23520011043773,29.861174123811587
14,7.352832861730201,37.407872380730325,29.99987210680172
15,7.59952486536146,36.82690541594268,28.60208813192748
16,7.735069695974214,37.17891836713997,27.403852805267405
17,7.725875293567898,37.58730674134345,27.222625712712233
18,7.965164601408693,37.63082859746043,27.463123636508723
19,7.814067743970781,36.35152167152939,24.875863567739376
20,7.678601385456617,35.49506078034918,23.582430509752
21,7.142994569576605,36.176944471310115,24.7896269823165
22,6.708674207189904,35.967478392973035,24.375502359266076
23,6.075873950377501,37.75708233259024,23.98704667144132
24,5.823739091546779,38.960936306228824,25.665231946626502
25,5.4288893806173935,39.12391173668363,24.227737509464347
26,5.59547227810115,37.98238977930553,24.380866473962726
27,6.107149789939149,37.092916142545704,23.06043486516251
28,6.450456484937758,34.226075831691574,22.22961841289134
29,6.383926100180239,33.90269183829639,20.709481186592594
30,6.336315488311486,35.392639554852394,21.337949284153456
31,6.259454679428741,36.048195558267125,22.249501333343197
32,6.619424427883572,33.1818790199315,19.709004989484015
33,6.618797279204079,32.84443497893181,19.954648064119255
34,6.6835238701788064,31.97340223924362,19.855760203775944
35,6.9760647013247326,30.951271724397984,19.062056977887533
36,6.789480860770098,29.234179212476928,19.019964293938322
37,5.747179831643177,29.670461340130448,17.49816931127652
38,5.2328811340684425,29.46336532852646,18.8594279299602
39,4.790145766573036,27.05967000738717,18.137512046515713
40,4.246259902730632,25.981433157814937,18.19271614889787
41,4.3453119385199965,24.905209477034923,18.413075212734523
42,3.9866028906329256,24.13949532400495,18.259591509201762
43,3.6349498458061693,24.08051490694836,18.0127176180775
44,3.421487342343028,24.148169314255647,17.830840356873303
45,3.2553959017596146,24.389446102207305,17.756567517906436
46,3.2860232940828307,24.544542548255,17.73412116567328
47,3.4910746876908947,24.688761958807074,17.929202212798227
48,3.6657537001641147,24.882356709280067,18.07305988789678
49,4.001557056715365,25.138497867287125,18.53079971756387
50,4.368153980596573,24.99825335240796,19.46138329978301
51,4.784847766658947,23.08037958547963,19.345564423103095
52,4.989272855161433,22.4816827035962,19.154948980119833
53,5.117787485492585,22.216847314308513,19.23282297848388
54,4.905091698363356,23.806755349501497,19.560172783140132
55,4.814896460370171,23.94018787155819,19.028975087111345
56,4.706720395979486,24.740839777900845,20.211381190843998
57,4.884143344203942,25.97757137866323,19.847036928050784
58,5.100698319121228,26.940496172422133,20.3673654267678
59,5.499304863894782,26.60879977043526,20.56284667138401
60,5.545950511334713,27.48660888506229,20.665924391600022
